"cntry","happy","health","brncntr","gndr","agea"
"AT",8,2,"Nacido en el país","Mujer",39
"AT",9,2,"Nacido en el país","Mujer",64
"AT",4,3,"Nacido en el país","Hombre",43
"AT",7,1,"Nacido en el país","Mujer",65
"AT",10,2,"Nacido en el país","Hombre",22
"AT",8,2,"No nacido en el país","Hombre",47
"AT",7,3,"Nacido en el país","Hombre",45
"AT",10,1,"Nacido en el país","Hombre",64
"AT",9,1,"No nacido en el país","Hombre",60
"AT",7,1,"Nacido en el país","Hombre",32
"AT",7,2,"Nacido en el país","Mujer",68
"AT",9,1,"Nacido en el país","Mujer",40
"AT",8,2,"Nacido en el país","Mujer",84
"AT",9,2,"Nacido en el país","Hombre",59
"AT",7,1,"Nacido en el país","Hombre",27
"AT",9,2,"No nacido en el país","Mujer",72
"AT",7,2,"Nacido en el país","Mujer",47
"AT",8,3,"Nacido en el país","Hombre",58
"AT",8,2,"Nacido en el país","Mujer",55
"AT",9,2,"Nacido en el país","Mujer",80
"AT",7,2,"Nacido en el país","Hombre",21
"AT",8,1,"Nacido en el país","Hombre",67
"AT",10,2,"Nacido en el país","Mujer",37
"AT",8,2,"Nacido en el país","Hombre",54
"AT",9,1,"Nacido en el país","Hombre",30
"AT",8,2,"Nacido en el país","Mujer",61
"AT",7,3,"Nacido en el país","Mujer",62
"AT",6,1,"No nacido en el país","Hombre",67
"AT",10,2,"Nacido en el país","Mujer",88
"AT",8,1,"Nacido en el país","Mujer",50
"AT",8,2,"Nacido en el país","Hombre",70
